#STATE  ENERGY(cm^{-1})  SPIN
 
     887:    845.924003  13.00
     888:    845.924003  13.00
     889:    866.638909  13.00
     890:    866.638909  13.00
     891:    866.638909  13.00
     892:    866.638909  13.00
     893:    866.638909  13.00
     894:    866.638909  13.00
     895:    866.638909  13.00
     896:    866.638909  13.00
     897:    866.638909  13.00
     898:    866.638909  13.00
     899:    866.638909  13.00
     900:    866.638909  13.00
     901:    866.638909  13.00
     902:    881.851256  15.00
     903:    881.851256  15.00
     904:    881.851256  15.00
     905:    881.851256  15.00
     906:    881.851256  15.00
     907:    881.851256  15.00
     908:    881.851256  15.00
     909:    881.851256  15.00
     910:    881.851256  15.00
     911:    881.851256  15.00
     912:    881.851256  15.00
     913:    881.851256  15.00
     914:    881.851256  15.00
     915:    881.851256  15.00
     916:    881.851256  15.00
     917:    932.393070  13.00
     918:    932.393070  13.00
     919:    932.393070  13.00
     920:    932.393070  13.00
     921:    932.393070  13.00
     922:    932.393070  13.00
     923:    932.393070  13.00
     924:    932.393070  13.00
     925:    932.393070  13.00
     926:    932.393070  13.00
     927:    932.393070  13.00
     928:    932.393070  13.00
     929:    932.393070  13.00
     930:    969.619521  13.00
     931:    969.619521  13.00
     932:    969.619521  13.00
     933:    969.619521  13.00
     934:    969.619521  13.00
     935:    969.619521  13.00
     936:    969.619521  13.00
     937:    969.619521  13.00
     938:    969.619521  13.00
     939:    969.619521  13.00
     940:    969.619521  13.00
     941:    969.619521  13.00
     942:    969.619521  13.00
     943:   1162.853443  13.00
     944:   1162.853443  13.00
     945:   1162.853443  13.00
     946:   1162.853443  13.00
     947:   1162.853443  13.00
     948:   1162.853443  13.00
     949:   1162.853443  13.00
     950:   1162.853443  13.00
     951:   1162.853443  13.00
     952:   1162.853443  13.00
     953:   1162.853443  13.00
     954:   1162.853443  13.00
     955:   1162.853443  13.00
     956:   1230.129678  13.00
     957:   1230.129678  13.00
     958:   1230.129678  13.00
     959:   1230.129678  13.00
     960:   1230.129678  13.00
     961:   1230.129678  13.00
     962:   1230.129678  13.00
     963:   1230.129678  13.00
     964:   1230.129678  13.00
     965:   1230.129678  13.00
     966:   1230.129678  13.00
     967:   1230.129678  13.00
     968:   1230.129678  13.00
     969:   1363.216925  13.00
     970:   1363.216925  13.00
